"","level","Ridge","Lasso","Elastic Net","Random Forest","Ensemble"
"1","more than 200,000",0.206179370986796,0.188281197440874,0.171920587020454,0.166141913442803,0.167884279496604
"2","150,000 to 200,000",0.0617761846331117,0.0692861979096496,0.0692861979096496,0.0583454881002437,0.0614254847492438
"3","100,000 to 150,000",0.0941373504693071,0.103280948346299,0.103280948346299,0.087909996312563,0.0907611706455915
"4","less than 100,000",0.268067738353429,0.238358576540683,0.238358576540683,0.228963997670213,0.209146628669902
